22-11-08 18:02:34 INFO : 	Subsystems initialised
22-11-08 18:02:35 INFO : 	WindowSdl initialised
22-11-08 18:02:35 INFO : 	OpenGL Context initialised
22-11-08 18:02:35 INFO : 	GLEW initialised
22-11-08 18:02:35 INFO : 	Renderer: NVIDIA GeForce GTX 960/PCIe/SSE2
22-11-08 18:02:35 INFO : 	OpenGL version supported 4.4.0 NVIDIA 512.15
22-11-08 18:02:35 INFO : 	-----------------------------
22-11-08 18:02:35 INFO : 	GL Context Params:
22-11-08 18:02:35 INFO : 	GL_MAX_COMBINED_TEXTURE_IMAGE_UNITS 192
22-11-08 18:02:35 INFO : 	GL_MAX_CUBE_MAP_TEXTURE_SIZE 16384
22-11-08 18:02:35 INFO : 	GL_MAX_DRAW_BUFFERS 8
22-11-08 18:02:35 INFO : 	GL_MAX_FRAGMENT_UNIFORM_COMPONENTS 4096
22-11-08 18:02:35 INFO : 	GL_MAX_TEXTURE_IMAGE_UNITS 32
22-11-08 18:02:35 INFO : 	GL_MAX_TEXTURE_SIZE 16384
22-11-08 18:02:35 INFO : 	GL_MAX_VARYING_FLOATS 124
22-11-08 18:02:35 INFO : 	GL_MAX_VERTEX_ATTRIBS 16
22-11-08 18:02:35 INFO : 	GL_MAX_VERTEX_TEXTURE_IMAGE_UNITS 32
22-11-08 18:02:35 INFO : 	GL_MAX_VERTEX_UNIFORM_COMPONENTS 4096
22-11-08 18:02:35 INFO : 	GL_MAX_VIEWPORT_DIMS 16384 16384
22-11-08 18:02:35 INFO : 	GL_STEREO 0
22-11-08 18:02:35 INFO : 	
22-11-08 18:02:35 INFO : 	program 3 GL_VALIDATE_STATUS = 1
22-11-08 18:02:35 INFO : 	-----------------------------
22-11-08 18:02:35 INFO : 	Shader programme 3 info:
22-11-08 18:02:35 INFO : 	GL_LINK_STATUS = 1
22-11-08 18:02:35 INFO : 	GL_ATTACHED_SHADERS = 2
22-11-08 18:02:35 INFO : 	GL_ACTIVE_ATTRIBUTES = 1
22-11-08 18:02:35 INFO : 	  0) type:int name:gl_VertexID location:-1
22-11-08 18:02:35 INFO : 	GL_ACTIVE_UNIFORMS = 0
22-11-08 18:02:35 INFO : 	program info log for GL index3
22-11-08 18:02:35 INFO : 	
22-11-08 18:05:43 INFO : 	Bye :)
